week,year,week_number,cough_medicine,flu_clinic,flu_shot,flu_vaccine,flu,influenza,oseltamivir,relenza,tamiflu,zanamivir
11/17/13,2013,47,56.888888888888886,28.0,28.660194174757283,21.91304347826087,14.56,5.485714285714286,0.0,0.0,2.1052631578947367,0.0
11/24/13,2013,48,23.703703703703702,20.0,30.25242718446602,21.91304347826087,10.4,17.37142857142857,0.0,0.0,1.6842105263157894,0.0
12/1/13,2013,49,24.782608695652172,43.83720930232558,24.4375,6.25,9.533333333333333,18.64406779661017,0.0,171.09756097560975,6.0,0.0
12/8/13,2013,50,37.17391304347826,29.0,23.0,11.458333333333334,11.266666666666667,11.864406779661016,0.0,173.90243902439025,2.25,0.0
12/15/13,2013,51,38.94409937888199,47.2093023255814,30.1875,18.75,10.4,25.423728813559322,0.0,69.0,5.25,0.0
12/22/13,2013,52,90.27950310559005,53.95348837209303,7.1875,10.416666666666666,12.133333333333333,17.796610169491526,0.0,69.0,10.5,0.0
12/29/13,2013,53,93.81987577639751,29.0,30.1875,28.125,21.666666666666668,26.271186440677965,0.0,69.0,12.0,0.0
1/5/14,2014,1,128.8421052631579,16.466666666666665,41.407407407407405,27.2,32.107142857142854,33.46031746031746,56.0,0.0,14.553191489361701,0.0
1/12/14,2014,2,42.94736842105263,26.6,68.48148148148148,41.6,32.107142857142854,33.46031746031746,14.0,0.0,12.936170212765957,0.0
1/19/14,2014,3,42.94736842105263,16.466666666666665,41.407407407407405,40.0,26.928571428571427,21.58730158730159,14.0,0.0,20.21276595744681,0.0
1/26/14,2014,4,57.26315789473684,16.466666666666665,20.703703703703702,27.2,24.857142857142858,47.492063492063494,14.0,0.0,28.29787234042553,0.0
2/2/14,2014,5,20.855172413793102,8.0,10.451612903225806,22.666666666666668,21.6,20.195121951219512,8.0,0.0,21.75,0.0
2/9/14,2014,6,25.324137931034482,32.0,12.774193548387096,15.0,14.4,45.65853658536585,32.0,0.0,6.0,0.0
2/16/14,2014,7,26.06896551724138,8.0,4.645161290322581,30.666666666666668,14.4,25.463414634146343,8.0,0.0,6.0,0.0
2/23/14,2014,8,35.751724137931035,8.0,8.129032258064516,6.666666666666667,9.6,16.682926829268293,8.0,0.0,2.25,0.0
3/2/14,2014,9,15.806451612903224,16.0,6.0,11.0,13.382352941176471,42.93893129770993,7.0,0.0,12.63888888888889,0.0
3/9/14,2014,10,23.709677419354836,80.0,6.0,19.25,13.382352941176471,13.3587786259542,17.746478873239436,0.0,13.541666666666666,0.0
3/16/14,2014,11,49.677419354838705,16.0,7.5,8.25,12.352941176470589,22.900763358778626,7.0,0.0,9.027777777777777,0.0
3/23/14,2014,12,80.16129032258064,16.0,7.5,15.125,14.411764705882353,32.44274809160306,17.253521126760564,0.0,16.25,0.0
3/30/14,2014,13,40.64516129032258,16.0,3.0,12.375,16.47058823529412,13.3587786259542,7.0,0.0,13.541666666666666,0.0
4/6/14,2014,14,46.666666666666664,17.379310344827587,6.153846153846154,5.6,16.390243902439025,34.36363636363637,0.0,0.0,17.142857142857142,0.0
4/13/14,2014,15,29.473684210526315,18.620689655172413,3.076923076923077,5.6,10.536585365853659,23.727272727272727,0.0,0.0,12.857142857142858,0.0
4/20/14,2014,16,36.8421052631579,9.0,4.615384615384615,5.6,11.707317073170731,40.09090909090909,0.0,0.0,5.0,0.0
4/27/14,2014,17,27.017543859649123,9.0,6.153846153846154,11.2,9.365853658536585,9.818181818181818,0.0,0.0,5.0,0.0
